annotation_id,annotator,created_at,id,label,lead_time,text,updated_at
45,1,2025-01-25 11:50:03.193647+00:00,220,"[{""start"":0,""end"":6,""text"":""पुलिस "",""labels"":[""NOUN""]},{""start"":18,""end"":22,""text"":""BJP "",""labels"":[""NOUN""]},{""start"":22,""end"":26,""text"":""OBC "",""labels"":[""NOUN""]},{""start"":36,""end"":42,""text"":""स्टेट "",""labels"":[""NOUN""]},{""start"":42,""end"":52,""text"":""सेक्रेटरी "",""labels"":[""NOUN""]},{""start"":52,""end"":58,""text"":""रंजीत "",""labels"":[""PROPN""]},{""start"":58,""end"":68,""text"":""श्रीनिवास "",""labels"":[""PROPN""]},{""start"":71,""end"":74,""text"":""घर "",""labels"":[""PROPN""]},{""start"":78,""end"":84,""text"":""घुसकर "",""labels"":[""VERB""]},{""start"":84,""end"":89,""text"":""हमला "",""labels"":[""NOUN""]},{""start"":6,""end"":9,""text"":""ने "",""labels"":[""PROPN""]},{""start"":9,""end"":15,""text"":""बताया "",""labels"":[""VERB""]},{""start"":15,""end"":18,""text"":""कि "",""labels"":[""CONJ""]},{""start"":26,""end"":33,""text"":""मोर्चा "",""labels"":[""NOUN""]},{""start"":18,""end"":22,""text"":""BJP "",""labels"":[""PROPN""]},{""start"":68,""end"":71,""text"":""के "",""labels"":[""ADP""]},{""start"":33,""end"":36,""text"":""के "",""labels"":[""ADP""]},{""start"":74,""end"":78,""text"":""में "",""labels"":[""ADP""]},{""start"":89,""end"":94,""text"":""किया "",""labels"":[""VERB""]},{""start"":96,""end"":98,""text"":""ा।"",""labels"":[""VERB""]},{""start"":97,""end"":98,""text"":""।"",""labels"":[""X""]},{""start"":94,""end"":97,""text"":""गया"",""labels"":[""VERB""]},{""start"":97,""end"":98,""text"":""।"",""labels"":[""VERB""]}]",225.839,पुलिस ने बताया कि BJP OBC मोर्चा के स्टेट सेक्रेटरी रंजीत श्रीनिवास के घर में घुसकर हमला किया गया।,2025-01-25 11:50:03.193647+00:00
44,1,2025-01-25 11:51:42.743039+00:00,221,"[{""start"":10,""end"":15,""text"":""जांच "",""labels"":[""VERB""]},{""start"":15,""end"":22,""text"":""एजेंसी "",""labels"":[""NOUN""]},{""start"":32,""end"":37,""text"":""वॉइस "",""labels"":[""PROPN""]},{""start"":32,""end"":37,""text"":""वॉइस "",""labels"":[""PROPN""]},{""start"":37,""end"":40,""text"":""ऑफ "",""labels"":[""PROPN""]},{""start"":40,""end"":44,""text"":""हिंद"",""labels"":[""PROPN""]},{""start"":46,""end"":53,""text"":""मैगजीन "",""labels"":[""PROPN""]},{""start"":67,""end"":71,""text"":""IED "",""labels"":[""PROPN""]},{""start"":94,""end"":98,""text"":""्मू-"",""labels"":[""PROPN""]},{""start"":98,""end"":105,""text"":""कश्मीर "",""labels"":[""PROPN""]},{""start"":92,""end"":97,""text"":""जम्मू"",""labels"":[""PROPN""]},{""start"":92,""end"":104,""text"":""जम्मू-कश्मीर"",""labels"":[""PROPN""]},{""start"":92,""end"":104,""text"":""जम्मू-कश्मीर"",""labels"":[""PROPN""]},{""start"":112,""end"":118,""text"":""जगहों "",""labels"":[""NOUN""]},{""start"":121,""end"":130,""text"":""छापेमारी "",""labels"":[""VERB""]},{""start"":23,""end"":26,""text"":""NIA"",""labels"":[""PROPN""]},{""start"":0,""end"":10,""text"":""राष्ट्रीय "",""labels"":[""ADJ""]},{""start"":131,""end"":133,""text"":""ी।"",""labels"":[""VERB""]},{""start"":130,""end"":132,""text"":""की"",""labels"":[""VERB""]},{""start"":109,""end"":112,""text"":""16 "",""labels"":[""NUM""]},{""start"":28,""end"":31,""text"":""ने "",""labels"":[""ADP""]},{""start"":53,""end"":56,""text"":""के "",""labels"":[""ADP""]},{""start"":71,""end"":74,""text"":""की "",""labels"":[""ADP""]},{""start"":88,""end"":92,""text"":""में "",""labels"":[""ADP""]},{""start"":105,""end"":108,""text"":""में"",""labels"":[""ADP""]},{""start"":56,""end"":64,""text"":""प्रकाशन "",""labels"":[""NOUN""]},{""start"":64,""end"":67,""text"":""और "",""labels"":[""CONJ""]},{""start"":118,""end"":121,""text"":""पर "",""labels"":[""ADP""]},{""start"":74,""end"":82,""text"":""बरामदगी "",""labels"":[""VERB""]},{""start"":74,""end"":82,""text"":""बरामदगी "",""labels"":[""NOUN""]},{""start"":82,""end"":88,""text"":""मामले "",""labels"":[""PRON""]},{""start"":22,""end"":23,""text"":""("",""labels"":[""X""]},{""start"":26,""end"":28,""text"":"") "",""labels"":[""X""]},{""start"":31,""end"":32,""text"":""‘"",""labels"":[""X""]},{""start"":44,""end"":46,""text"":""’ "",""labels"":[""X""]},{""start"":63,""end"":64,""text"":"" "",""labels"":[""NOUN""]},{""start"":92,""end"":95,""text"":""जम्"",""labels"":[""PROPN""]},{""start"":92,""end"":95,""text"":""जम्"",""labels"":[""PROPN""]},{""start"":92,""end"":95,""text"":""जम्"",""labels"":[""PROPN""]},{""start"":92,""end"":95,""text"":""जम्"",""labels"":[""PROPN""]},{""start"":92,""end"":95,""text"":""जम्"",""labels"":[""PROPN""]},{""start"":92,""end"":95,""text"":""जम्"",""labels"":[""PROPN""]}]",308.931,राष्ट्रीय जांच एजेंसी (NIA) ने ‘वॉइस ऑफ हिंद’ मैगजीन के प्रकाशन और IED की बरामदगी मामले में जम्मू-कश्मीर में 16 जगहों पर छापेमारी की।,2025-01-25 11:51:42.743039+00:00
46,1,2025-01-25 11:53:19.729744+00:00,222,"[{""start"":0,""end"":5,""text"":""पहली "",""labels"":[""ADJ""]},{""start"":5,""end"":8,""text"":""कम "",""labels"":[""ADJ""]},{""start"":38,""end"":43,""text"":""पहली "",""labels"":[""ADJ""]},{""start"":14,""end"":18,""text"":""IPL "",""labels"":[""PROPN""]},{""start"":21,""end"":25,""text"":""UAE "",""labels"":[""PROPN""]},{""start"":56,""end"":65,""text"":""इंग्लैंड "",""labels"":[""PROPN""]},{""start"":78,""end"":82,""text"":""UAE "",""labels"":[""PROPN""]},{""start"":86,""end"":90,""text"":""IPL "",""labels"":[""PROPN""]},{""start"":0,""end"":5,""text"":""पहली "",""labels"":[""ADJ""]},{""start"":5,""end"":8,""text"":""कम "",""labels"":[""NOUN""]},{""start"":99,""end"":104,""text"":""खर्च "",""labels"":[""NOUN""]},{""start"":104,""end"":107,""text"":""कम "",""labels"":[""ADV""]},{""start"":29,""end"":35,""text"":""कराने "",""labels"":[""VERB""]},{""start"":107,""end"":112,""text"":""पड़ेगा"",""labels"":[""VERB""]},{""start"":50,""end"":53,""text"":""है "",""labels"":[""VERB""]},{""start"":90,""end"":96,""text"":""कराने "",""labels"":[""VERB""]},{""start"":18,""end"":21,""text"":""को "",""labels"":[""ADP""]},{""start"":35,""end"":38,""text"":""की "",""labels"":[""ADP""]},{""start"":25,""end"":29,""text"":""में "",""labels"":[""ADP""]},{""start"":53,""end"":56,""text"":""कि "",""labels"":[""NOUN""]},{""start"":74,""end"":78,""text"":""में "",""labels"":[""ADP""]},{""start"":82,""end"":86,""text"":""में "",""labels"":[""ADP""]},{""start"":96,""end"":99,""text"":""का "",""labels"":[""ADP""]},{""start"":65,""end"":68,""text"":""की "",""labels"":[""ADP""]},{""start"":8,""end"":12,""text"":""खर्च"",""labels"":[""NOUN""]},{""start"":10,""end"":14,""text"":""्च: "",""labels"":[""X""]},{""start"":43,""end"":47,""text"":""वजह "",""labels"":[""NOUN""]},{""start"":68,""end"":74,""text"":""तुलना "",""labels"":[""NOUN""]},{""start"":47,""end"":50,""text"":""ये "",""labels"":[""PRON_WH""]}]",245.334,पहली कम खर्च: IPL को UAE में कराने की पहली वजह ये है कि इंग्लैंड की तुलना में UAE में IPL कराने का खर्च कम पड़ेगा।,2025-01-25 11:53:19.729744+00:00
47,1,2025-01-25 11:54:24.432828+00:00,223,"[{""start"":16,""end"":21,""text"":""39वीं"",""labels"":[""ADJ""]},{""start"":81,""end"":86,""text"":""39वीं"",""labels"":[""ADJ""]},{""start"":0,""end"":5,""text"":""रैना "",""labels"":[""PROPN""]},{""start"":30,""end"":41,""text"":""कोहली-रोहित"",""labels"":[""PROPN""]},{""start"":52,""end"":64,""text"":""कीसुरेश रैना"",""labels"":[""PROPN""]},{""start"":68,""end"":71,""text"":""IPL"",""labels"":[""PROPN""]},{""start"":87,""end"":93,""text"":""फिफ्टी"",""labels"":[""NOUN""]},{""start"":7,""end"":11,""text"":"" IPL"",""labels"":[""PROPN""]},{""start"":5,""end"":7,""text"":""की"",""labels"":[""ADP""]},{""start"":12,""end"":16,""text"":""में "",""labels"":[""ADP""]},{""start"":41,""end"":45,""text"":"" की "",""labels"":[""VERB""]},{""start"":64,""end"":67,""text"":"" ने"",""labels"":[""ADP""]},{""start"":72,""end"":75,""text"":""में"",""labels"":[""ADP""]},{""start"":45,""end"":51,""text"":""बराबरी"",""labels"":[""NOUN""]},{""start"":22,""end"":28,""text"":""फिफ्टी"",""labels"":[""ADJ""]},{""start"":76,""end"":81,""text"":""अपनी "",""labels"":[""PRON""]},{""start"":94,""end"":98,""text"":""लगाई"",""labels"":[""VERB""]},{""start"":94,""end"":98,""text"":""लगाई"",""labels"":[""VERB""]},{""start"":98,""end"":99,""text"":""।"",""labels"":[""X""]},{""start"":25,""end"":30,""text"":""्टी, "",""labels"":[""PROPN""]}]",273.959,"रैना की IPL में 39वीं फिफ्टी, कोहली-रोहित की बराबरी कीसुरेश रैना ने IPL में अपनी 39वीं फिफ्टी लगाई।",2025-01-25 11:54:24.432828+00:00
48,1,2025-01-25 11:55:29.788263+00:00,224,"[{""start"":0,""end"":11,""text"":""गैजेट डेस्क"",""labels"":[""ADJ""]},{""start"":12,""end"":48,""text"":"" टेलीकॉम रेगुलेटरी अथॉरिटी ऑफ इंडिया"",""labels"":[""PROPN""]},{""start"":50,""end"":54,""text"":""TRAI"",""labels"":[""PROPN""]},{""start"":58,""end"":83,""text"":"" मोबाइल नंबर पोर्टेबिलिटी"",""labels"":[""PROPN""]},{""start"":85,""end"":88,""text"":""MNP"",""labels"":[""PROPN""]},{""start"":101,""end"":110,""text"":""कर दी हैं"",""labels"":[""VERB""]},{""start"":92,""end"":97,""text"":"" कीमत"",""labels"":[""NOUN""]},{""start"":90,""end"":92,""text"":""की"",""labels"":[""ADP""]},{""start"":98,""end"":100,""text"":""कम"",""labels"":[""ADJ""]},{""start"":55,""end"":58,""text"":"" ने"",""labels"":[""CONJ""]},{""start"":110,""end"":111,""text"":""।"",""labels"":[""X""]},{""start"":54,""end"":55,""text"":"")"",""labels"":[""X""]},{""start"":49,""end"":50,""text"":""("",""labels"":[""X""]},{""start"":84,""end"":85,""text"":""("",""labels"":[""X""]},{""start"":88,""end"":89,""text"":"")"",""labels"":[""X""]},{""start"":11,""end"":12,""text"":""."",""labels"":[""X""]},{""start"":6,""end"":11,""text"":""डेस्क"",""labels"":[""NOUN""]}]",246.468,गैजेट डेस्क. टेलीकॉम रेगुलेटरी अथॉरिटी ऑफ इंडिया (TRAI) ने मोबाइल नंबर पोर्टेबिलिटी (MNP) की कीमत कम कर दी हैं।,2025-01-25 11:55:29.788263+00:00
49,1,2025-01-25 11:56:46.685782+00:00,225,"[{""start"":29,""end"":36,""text"":""कोलकाता"",""labels"":[""PROPN""]},{""start"":38,""end"":46,""text"":""अहमदाबाद"",""labels"":[""PROPN""]},{""start"":47,""end"":57,""text"":"" गुरुग्राम"",""labels"":[""PROPN""]},{""start"":61,""end"":68,""text"":""बैंगलोर"",""labels"":[""PROPN""]},{""start"":73,""end"":86,""text"":""Ace Mahotsav "",""labels"":[""PROPN""]},{""start"":86,""end"":92,""text"":""मनाया "",""labels"":[""VERB""]},{""start"":92,""end"":95,""text"":""गया"",""labels"":[""VERB""]},{""start"":18,""end"":24,""text"":""शुरुआत"",""labels"":[""ADJ""]},{""start"":9,""end"":14,""text"":""महीने"",""labels"":[""NOUN""]},{""start"":0,""end"":4,""text"":""जबकि"",""labels"":[""CONJ""]},{""start"":6,""end"":9,""text"":""इस "",""labels"":[""PRON""]},{""start"":6,""end"":9,""text"":""इस "",""labels"":[""PRON""]},{""start"":15,""end"":18,""text"":""की "",""labels"":[""ADP""]},{""start"":25,""end"":29,""text"":""में "",""labels"":[""ADP""]},{""start"":58,""end"":60,""text"":""और"",""labels"":[""PRON""]},{""start"":69,""end"":73,""text"":""में "",""labels"":[""ADP""]},{""start"":94,""end"":96,""text"":""ा।"",""labels"":[""VERB""]},{""start"":46,""end"":48,""text"":"", "",""labels"":[""X""]},{""start"":3,""end"":6,""text"":""ि, "",""labels"":[""X""]}]",218.865,"जबकि, इस महीने की शुरुआत में कोलकाता, अहमदाबाद, गुरुग्राम और बैंगलोर में Ace Mahotsav मनाया गया।",2025-01-25 11:56:46.685782+00:00
50,1,2025-01-25 11:57:08.165145+00:00,226,"[{""start"":0,""end"":14,""text"":""यूटिलिटी डेस्क"",""labels"":[""NOUN""]},{""start"":16,""end"":38,""text"":""रिजर्व बैंक ऑफ इंडिया "",""labels"":[""PROPN""]},{""start"":39,""end"":42,""text"":""RBI"",""labels"":[""PROPN""]},{""start"":51,""end"":56,""text"":"" ATM "",""labels"":[""PROPN""]},{""start"":56,""end"":67,""text"":""ट्रांजेक्शन"",""labels"":[""NOUN""]},{""start"":77,""end"":84,""text"":""नियमों "",""labels"":[""NOUN""]},{""start"":92,""end"":102,""text"":""स्पष्टीकरण"",""labels"":[""NOUN""]},{""start"":103,""end"":115,""text"":""जारी किया है"",""labels"":[""VERB""]},{""start"":44,""end"":47,""text"":""ने "",""labels"":[""ADP""]},{""start"":84,""end"":87,""text"":""को "",""labels"":[""ADP""]},{""start"":71,""end"":77,""text"":""जुड़े "",""labels"":[""ADP""]},{""start"":87,""end"":91,""text"":""लेकर"",""labels"":[""DET""]},{""start"":68,""end"":71,""text"":""से "",""labels"":[""CONJ""]},{""start"":47,""end"":52,""text"":""फ्री "",""labels"":[""NOUN""]},{""start"":42,""end"":44,""text"":"") "",""labels"":[""X""]},{""start"":38,""end"":39,""text"":""("",""labels"":[""X""]},{""start"":114,""end"":116,""text"":""ै।"",""labels"":[""X""]},{""start"":12,""end"":16,""text"":""्क. "",""labels"":[""X""]},{""start"":44,""end"":46,""text"":""ने"",""labels"":[""PROPN""]}]",336.825,यूटिलिटी डेस्क. रिजर्व बैंक ऑफ इंडिया (RBI) ने फ्री ATM ट्रांजेक्शन से जुड़े नियमों को लेकर स्पष्टीकरण जारी किया है।,2025-01-25 11:57:08.165145+00:00
51,1,2025-01-25 11:58:10.933348+00:00,227,"[{""start"":0,""end"":4,""text"":""DIG "",""labels"":[""PROPN""]},{""start"":4,""end"":10,""text"":""नीलेश "",""labels"":[""PROPN""]},{""start"":10,""end"":15,""text"":""आनंद "",""labels"":[""PROPN""]},{""start"":23,""end"":29,""text"":""न्यूज "",""labels"":[""NOUN""]},{""start"":29,""end"":36,""text"":""एजेंसी "",""labels"":[""NOUN""]},{""start"":36,""end"":40,""text"":""PTI "",""labels"":[""PROPN""]},{""start"":52,""end"":58,""text"":""अकेले "",""labels"":[""ADJ""]},{""start"":58,""end"":65,""text"":""कुमाऊं "",""labels"":[""NOUN""]},{""start"":65,""end"":73,""text"":""क्षेत्र "",""labels"":[""NOUN""]},{""start"":52,""end"":65,""text"":""अकेले कुमाऊं "",""labels"":[""NOUN""]},{""start"":52,""end"":64,""text"":""अकेले कुमाऊं"",""labels"":[""NOUN""]},{""start"":52,""end"":58,""text"":""अकेले "",""labels"":[""ADJ""]},{""start"":98,""end"":101,""text"":""40 "",""labels"":[""NUM""]},{""start"":91,""end"":98,""text"":""संख्या "",""labels"":[""NOUN""]},{""start"":15,""end"":20,""text"":""भरने "",""labels"":[""PROPN""]},{""start"":20,""end"":23,""text"":""ने "",""labels"":[""ADP""]},{""start"":40,""end"":43,""text"":""को "",""labels"":[""ADP""]},{""start"":49,""end"":52,""text"":""कि "",""labels"":[""ADP""]},{""start"":73,""end"":77,""text"":""में "",""labels"":[""ADP""]},{""start"":88,""end"":91,""text"":""की "",""labels"":[""ADP""]},{""start"":101,""end"":104,""text"":""के "",""labels"":[""ADP""]},{""start"":104,""end"":116,""text"":""पार हो गई है"",""labels"":[""VERB""]},{""start"":43,""end"":49,""text"":""बताया "",""labels"":[""VERB""]},{""start"":77,""end"":82,""text"":""मरने "",""labels"":[""VERB""]},{""start"":82,""end"":87,""text"":""वालों"",""labels"":[""ADV""]},{""start"":116,""end"":117,""text"":""।"",""labels"":[""X""]},{""start"":52,""end"":58,""text"":""अकेले "",""labels"":[""ADJ""]},{""start"":58,""end"":65,""text"":""कुमाऊं "",""labels"":[""NUM""]},{""start"":58,""end"":65,""text"":""कुमाऊं "",""labels"":[""ADV""]},{""start"":58,""end"":65,""text"":""कुमाऊं "",""labels"":[""ADV""]},{""start"":58,""end"":65,""text"":""कुमाऊं "",""labels"":[""NOUN""]}]",226.699,DIG नीलेश आनंद भरने ने न्यूज एजेंसी PTI को बताया कि अकेले कुमाऊं क्षेत्र में मरने वालों की संख्या 40 के पार हो गई है।,2025-01-25 11:58:10.933348+00:00
52,1,2025-01-25 11:59:08.174218+00:00,228,"[{""start"":0,""end"":28,""text"":""भारतीय क्रिकेट कंट्रोल बोर्ड"",""labels"":[""PROPN""]},{""start"":30,""end"":34,""text"":""BCCI"",""labels"":[""PROPN""]},{""start"":39,""end"":42,""text"":""IPL"",""labels"":[""PROPN""]},{""start"":46,""end"":52,""text"":""14वें "",""labels"":[""ADJ""]},{""start"":52,""end"":56,""text"":""सीजन"",""labels"":[""NOUN""]},{""start"":36,""end"":39,""text"":""आज "",""labels"":[""ADV""]},{""start"":57,""end"":60,""text"":""के "",""labels"":[""ADP""]},{""start"":43,""end"":46,""text"":""के "",""labels"":[""ADP""]},{""start"":78,""end"":81,""text"":""का "",""labels"":[""ADP""]},{""start"":60,""end"":65,""text"":""बाकी "",""labels"":[""ADJ""]},{""start"":72,""end"":78,""text"":""मैचों "",""labels"":[""NOUN""]},{""start"":81,""end"":89,""text"":""शेड्यूल "",""labels"":[""NOUN""]},{""start"":89,""end"":95,""text"":""घोषित "",""labels"":[""VERB""]},{""start"":95,""end"":105,""text"":""कर सकता है"",""labels"":[""VERB""]},{""start"":104,""end"":106,""text"":""ै।"",""labels"":[""X""]},{""start"":69,""end"":72,""text"":""31 "",""labels"":[""NUM""]},{""start"":65,""end"":69,""text"":""बचे "",""labels"":[""ADJ""]},{""start"":34,""end"":36,""text"":"") "",""labels"":[""X""]},{""start"":29,""end"":34,""text"":""(BCCI"",""labels"":[""X""]},{""start"":32,""end"":33,""text"":""C"",""labels"":[""PROPN""]}]",284.112,भारतीय क्रिकेट कंट्रोल बोर्ड (BCCI) आज IPL के 14वें सीजन के बाकी बचे 31 मैचों का शेड्यूल घोषित कर सकता है।,2025-01-25 11:59:08.174218+00:00
53,1,2025-01-25 12:00:34.918072+00:00,229,"[{""start"":0,""end"":26,""text"":""इंटरनेशनल क्रिकेट काउंसिल "",""labels"":[""PROPN""]},{""start"":27,""end"":30,""text"":""ICC"",""labels"":[""PROPN""]},{""start"":35,""end"":39,""text"":""BCCI"",""labels"":[""PROPN""]},{""start"":43,""end"":50,""text"":""वर्ल्ड "",""labels"":[""ADJ""]},{""start"":50,""end"":53,""text"":""कप "",""labels"":[""NOUN""]},{""start"":56,""end"":62,""text"":""फैसला "",""labels"":[""VERB""]},{""start"":62,""end"":67,""text"":""करने "",""labels"":[""VERB""]},{""start"":94,""end"":99,""text"":""दिया "",""labels"":[""VERB""]},{""start"":100,""end"":102,""text"":""ै।"",""labels"":[""VERB""]},{""start"":77,""end"":81,""text"":""जून "",""labels"":[""NOUN""]},{""start"":74,""end"":77,""text"":""28 "",""labels"":[""NUM""]},{""start"":32,""end"":35,""text"":""ने "",""labels"":[""ADP""]},{""start"":67,""end"":73,""text"":""के लिए"",""labels"":[""ADP""]},{""start"":81,""end"":87,""text"":""तक का "",""labels"":[""ADP""]},{""start"":87,""end"":90,""text"":""ही "",""labels"":[""PART""]},{""start"":90,""end"":94,""text"":""समय "",""labels"":[""NOUN""]},{""start"":40,""end"":43,""text"":""को "",""labels"":[""ADP""]},{""start"":53,""end"":56,""text"":""पर "",""labels"":[""ADV""]},{""start"":101,""end"":102,""text"":""।"",""labels"":[""X""]},{""start"":32,""end"":35,""text"":""ने "",""labels"":[""X""]},{""start"":30,""end"":32,""text"":"") "",""labels"":[""X""]},{""start"":26,""end"":27,""text"":""("",""labels"":[""X""]},{""start"":0,""end"":10,""text"":""इंटरनेशनल "",""labels"":[""ADJ""]}]",291.07,इंटरनेशनल क्रिकेट काउंसिल (ICC) ने BCCI को वर्ल्ड कप पर फैसला करने के लिए 28 जून तक का ही समय दिया है।,2025-01-25 12:00:34.918072+00:00
