"annotation_id","annotator","choice","created_at","id","image","lead_time","updated_at"
43,"1","Trucks","2025-01-26T17:00:49.828793Z",14440,"/data/upload/4/bab0eb67-img_200.jpg",78.336,"2025-01-26T17:00:49.828793Z"
44,"1","No Trucks","2025-01-26T17:01:51.497058Z",14441,"/data/upload/4/c9ea77dd-img_201.jpg",60.893,"2025-01-26T17:01:51.497058Z"
45,"1","No Trucks","2025-01-26T17:02:27.678142Z",14442,"/data/upload/4/faf37dd1-img_202.jpg",14.22,"2025-01-26T17:02:27.678142Z"
46,"1","No Trucks","2025-01-26T17:02:37.244065Z",14443,"/data/upload/4/2f572c5e-img_203.jpg",8.825,"2025-01-26T17:02:37.244065Z"
47,"1","No Trucks","2025-01-26T17:17:50.299929Z",14444,"/data/upload/4/25734682-img_204.jpg",911.869,"2025-01-26T17:17:50.299929Z"
48,"1","No Trucks","2025-01-26T17:18:03.662845Z",14445,"/data/upload/4/98e1dc01-img_205.jpg",12.528,"2025-01-26T17:18:03.662845Z"
49,"1","No Trucks","2025-01-26T17:18:09.457405Z",14446,"/data/upload/4/7e8fac34-img_206.jpg",5.369,"2025-01-26T17:18:09.457405Z"
50,"1","No Trucks","2025-01-26T17:18:14.822426Z",14447,"/data/upload/4/458d7e00-img_207.jpg",4.641,"2025-01-26T17:18:14.822426Z"
51,"1","No Trucks","2025-01-26T17:18:23.067205Z",14448,"/data/upload/4/a8da3260-img_208.jpg",7.809,"2025-01-26T17:18:23.067205Z"
52,"1","No Trucks","2025-01-26T17:18:30.564064Z",14449,"/data/upload/4/af0c6a8c-img_209.jpg",6.723,"2025-01-26T17:18:30.564064Z"
53,"1","No Trucks","2025-01-26T17:18:36.267053Z",14450,"/data/upload/4/5e616c41-img_210.jpg",4.976,"2025-01-26T17:18:36.267053Z"
54,"1","No Trucks","2025-01-26T17:18:43.740331Z",14451,"/data/upload/4/3496d2cc-img_211.jpg",7.051,"2025-01-26T17:18:43.740331Z"
55,"1","No Trucks","2025-01-26T17:18:50.537677Z",14452,"/data/upload/4/09fba854-img_212.jpg",6.322,"2025-01-26T17:18:50.537677Z"
56,"1","No Trucks","2025-01-26T17:18:58.214981Z",14453,"/data/upload/4/dc600fa3-img_213.jpg",6.955,"2025-01-26T17:18:58.214981Z"
57,"1","Trucks","2025-01-26T17:19:03.011168Z",14454,"/data/upload/4/4be23911-img_214.jpg",4.353,"2025-01-26T17:19:03.011168Z"
58,"1","No Trucks","2025-01-26T17:19:07.338601Z",14455,"/data/upload/4/0585428b-img_215.jpg",3.572,"2025-01-26T17:19:07.338601Z"
59,"1","Trucks","2025-01-26T17:19:14.710405Z",14456,"/data/upload/4/dfe1337a-img_216.jpg",6.649,"2025-01-26T17:19:14.710405Z"
60,"1","Trucks","2025-01-26T17:19:27.599585Z",14457,"/data/upload/4/e6592479-img_217.jpg",12.16,"2025-01-26T17:19:27.599585Z"
61,"1","Trucks","2025-01-26T17:19:31.957375Z",14458,"/data/upload/4/a6998b13-img_218.jpg",3.867,"2025-01-26T17:19:31.957375Z"
62,"1","Trucks","2025-01-26T17:19:37.064392Z",14459,"/data/upload/4/daadc125-img_219.jpg",4.375,"2025-01-26T17:19:37.064392Z"
